Year,State,HFR
1980,Alabama,0.608
1981,Alabama,0.597
1982,Alabama,0.661
1983,Alabama,0.586
1984,Alabama,0.624
1985,Alabama,0.644
1986,Alabama,0.567
1987,Alabama,0.609
1988,Alabama,0.606
1989,Alabama,0.627
1990,Alabama,0.641
1991,Alabama,0.632
1992,Alabama,0.552
1993,Alabama,0.6
1994,Alabama,0.571
1995,Alabama,0.554
1996,Alabama,0.568
1997,Alabama,0.557
1998,Alabama,0.577
1999,Alabama,0.537
2000,Alabama,0.538
2001,Alabama,0.522
2002,Alabama,0.553
2003,Alabama,0.504
2004,Alabama,0.516
2005,Alabama,0.485
2006,Alabama,0.468
2007,Alabama,0.481
2008,Alabama,0.503
2009,Alabama,0.482
2010,Alabama,0.456
2011,Alabama,0.513
2012,Alabama,0.543
2013,Alabama,0.516
2014,Alabama,0.51
2015,Alabama,0.495
2016,Alabama,0.528
1980,Alaska,0.789
1981,Alaska,0.709
1982,Alaska,0.737
1983,Alaska,0.722
1984,Alaska,0.712
1985,Alaska,0.653
1986,Alaska,0.688
1987,Alaska,0.718
1988,Alaska,0.748
1989,Alaska,0.711
1990,Alaska,0.699
1991,Alaska,0.716
1992,Alaska,0.685
1993,Alaska,0.712
1994,Alaska,0.667
1995,Alaska,0.709
1996,Alaska,0.663
1997,Alaska,0.652
1998,Alaska,0.559
1999,Alaska,0.571
2000,Alaska,0.601
2001,Alaska,0.61
2002,Alaska,0.614
2003,Alaska,0.587
2004,Alaska,0.58
2005,Alaska,0.609
2006,Alaska,0.551
2007,Alaska,0.577
2008,Alaska,0.613
2009,Alaska,0.543
2010,Alaska,0.611
2011,Alaska,0.627
2012,Alaska,0.607
2013,Alaska,0.576
2014,Alaska,0.618
2015,Alaska,0.551
2016,Alaska,0.572
1980,Arizona,0.563
1981,Arizona,0.598
1982,Arizona,0.541
1983,Arizona,0.554
1984,Arizona,0.567
1985,Arizona,0.538
1986,Arizona,0.549
1987,Arizona,0.564
1988,Arizona,0.557
1989,Arizona,0.624
1990,Arizona,0.598
1991,Arizona,0.564
1992,Arizona,0.547
1993,Arizona,0.53
1994,Arizona,0.505
1995,Arizona,0.532
1996,Arizona,0.449
1997,Arizona,0.465
1998,Arizona,0.467
1999,Arizona,0.409
2000,Arizona,0.427
2001,Arizona,0.35
2002,Arizona,0.381
2003,Arizona,0.393
2004,Arizona,0.368
2005,Arizona,0.373
2006,Arizona,0.385
2007,Arizona,0.38
2008,Arizona,0.382
2009,Arizona,0.396
2010,Arizona,0.346
2011,Arizona,0.329
2012,Arizona,0.415
2013,Arizona,0.366
2014,Arizona,0.385
2015,Arizona,0.36
2016,Arizona,0.36
1980,Arkansas,0.693
1981,Arkansas,0.639
1982,Arkansas,0.674
1983,Arkansas,0.63
1984,Arkansas,0.694
1985,Arkansas,0.656
1986,Arkansas,0.596
1987,Arkansas,0.657
1988,Arkansas,0.643
1989,Arkansas,0.636
1990,Arkansas,0.647
1991,Arkansas,0.639
1992,Arkansas,0.533
1993,Arkansas,0.644
1994,Arkansas,0.601
1995,Arkansas,0.583
1996,Arkansas,0.58
1997,Arkansas,0.562
1998,Arkansas,0.571
1999,Arkansas,0.555
2000,Arkansas,0.542
2001,Arkansas,0.537
2002,Arkansas,0.56
2003,Arkansas,0.516
2004,Arkansas,0.544
2005,Arkansas,0.499
2006,Arkansas,0.481
2007,Arkansas,0.507
2008,Arkansas,0.508
2009,Arkansas,0.493
2010,Arkansas,0.493
2011,Arkansas,0.527
2012,Arkansas,0.544
2013,Arkansas,0.5
2014,Arkansas,0.493
2015,Arkansas,0.462
2016,Arkansas,0.518
1980,California,0.366
1981,California,0.421
1982,California,0.414
1983,California,0.38
1984,California,0.405
1985,California,0.354
1986,California,0.367
1987,California,0.376
1988,California,0.396
1989,California,0.417
1990,California,0.379
1991,California,0.368
1992,California,0.402
1993,California,0.386
1994,California,0.31
1995,California,0.337
1996,California,0.291
1997,California,0.3
1998,California,0.241
1999,California,0.271
2000,California,0.274
2001,California,0.229
2002,California,0.228
2003,California,0.198
2004,California,0.203
2005,California,0.209
2006,California,0.202
2007,California,0.185
2008,California,0.175
2009,California,0.196
2010,California,0.174
2011,California,0.16
2012,California,0.214
2013,California,0.155
2014,California,0.183
2015,California,0.151
2016,California,0.163
1980,Colorado,0.54
1981,Colorado,0.525
1982,Colorado,0.574
1983,Colorado,0.49
1984,Colorado,0.593
1985,Colorado,0.517
1986,Colorado,0.495
1987,Colorado,0.528
1988,Colorado,0.527
1989,Colorado,0.54
1990,Colorado,0.535
1991,Colorado,0.519
1992,Colorado,0.483
1993,Colorado,0.48
1994,Colorado,0.49
1995,Colorado,0.445
1996,Colorado,0.465
1997,Colorado,0.445
1998,Colorado,0.409
1999,Colorado,0.43
2000,Colorado,0.467
2001,Colorado,0.371
2002,Colorado,0.363
2003,Colorado,0.373
2004,Colorado,0.411
2005,Colorado,0.378
2006,Colorado,0.399
2007,Colorado,0.404
2008,Colorado,0.402
2009,Colorado,0.411
2010,Colorado,0.384
2011,Colorado,0.36
2012,Colorado,0.414
2013,Colorado,0.394
2014,Colorado,0.385
2015,Colorado,0.369
2016,Colorado,0.379
1980,Connecticut,0.256
1981,Connecticut,0.298
1982,Connecticut,0.315
1983,Connecticut,0.3
1984,Connecticut,0.295
1985,Connecticut,0.254
1986,Connecticut,0.284
1987,Connecticut,0.3
1988,Connecticut,0.261
1989,Connecticut,0.318
1990,Connecticut,0.315
1991,Connecticut,0.322
1992,Connecticut,0.375
1993,Connecticut,0.309
1994,Connecticut,0.316
1995,Connecticut,0.293
1996,Connecticut,0.238
1997,Connecticut,0.228
1998,Connecticut,0.219
1999,Connecticut,0.198
2000,Connecticut,0.202
2001,Connecticut,0.189
2002,Connecticut,0.193
2003,Connecticut,0.179
2004,Connecticut,0.166
2005,Connecticut,0.202
2006,Connecticut,0.174
2007,Connecticut,0.116
2008,Connecticut,0.192
2009,Connecticut,0.185
2010,Connecticut,0.172
2011,Connecticut,0.163
2012,Connecticut,0.183
2013,Connecticut,0.141
2014,Connecticut,0.2
2015,Connecticut,0.192
2016,Connecticut,0.188
1980,Delaware,0.345
1981,Delaware,0.396
1982,Delaware,0.385
1983,Delaware,0.294
1984,Delaware,0.344
1985,Delaware,0.331
1986,Delaware,0.415
1987,Delaware,0.4
1988,Delaware,0.431
1989,Delaware,0.483
1990,Delaware,0.398
1991,Delaware,0.385
1992,Delaware,0.378
1993,Delaware,0.397
1994,Delaware,0.441
1995,Delaware,0.353
1996,Delaware,0.392
1997,Delaware,0.326
1998,Delaware,0.326
1999,Delaware,0.319
2000,Delaware,0.352
2001,Delaware,0.3
2002,Delaware,0.317
2003,Delaware,0.304
2004,Delaware,0.331
2005,Delaware,0.3
2006,Delaware,0.303
2007,Delaware,0.262
2008,Delaware,0.263
2009,Delaware,0.265
2010,Delaware,0.269
2011,Delaware,0.309
2012,Delaware,0.308
2013,Delaware,0.289
2014,Delaware,0.301
2015,Delaware,0.32
2016,Delaware,0.387
1980,Florida,0.437
1981,Florida,0.467
1982,Florida,0.423
1983,Florida,0.468
1984,Florida,0.44
1985,Florida,0.418
1986,Florida,0.414
1987,Florida,0.426
1988,Florida,0.397
1989,Florida,0.461
1990,Florida,0.411
1991,Florida,0.459
1992,Florida,0.426
1993,Florida,0.429
1994,Florida,0.383
1995,Florida,0.419
1996,Florida,0.364
1997,Florida,0.366
1998,Florida,0.319
1999,Florida,0.33
2000,Florida,0.32
2001,Florida,0.268
2002,Florida,0.277
2003,Florida,0.266
2004,Florida,0.234
2005,Florida,0.295
2006,Florida,0.282
2007,Florida,0.261
2008,Florida,0.303
2009,Florida,0.281
2010,Florida,0.27
2011,Florida,0.325
2012,Florida,0.309
2013,Florida,0.279
2014,Florida,0.284
2015,Florida,0.277
2016,Florida,0.288
1980,Georgia,0.609
1981,Georgia,0.617
1982,Georgia,0.615
1983,Georgia,0.596
1984,Georgia,0.603
1985,Georgia,0.578
1986,Georgia,0.55
1987,Georgia,0.61
1988,Georgia,0.583
1989,Georgia,0.594
1990,Georgia,0.574
1991,Georgia,0.574
1992,Georgia,0.569
1993,Georgia,0.566
1994,Georgia,0.525
1995,Georgia,0.548
1996,Georgia,0.52
1997,Georgia,0.499
1998,Georgia,0.507
1999,Georgia,0.488
2000,Georgia,0.467
2001,Georgia,0.427
2002,Georgia,0.442
2003,Georgia,0.396
2004,Georgia,0.43
2005,Georgia,0.416
2006,Georgia,0.395
2007,Georgia,0.388
2008,Georgia,0.395
2009,Georgia,0.453
2010,Georgia,0.364
2011,Georgia,0.421
2012,Georgia,0.401
2013,Georgia,0.379
2014,Georgia,0.382
2015,Georgia,0.361
2016,Georgia,0.377
1980,Hawaii,0.266
1981,Hawaii,0.241
1982,Hawaii,0.159
1983,Hawaii,0.195
1984,Hawaii,0.202
1985,Hawaii,0.217
1986,Hawaii,0.219
1987,Hawaii,0.23
1988,Hawaii,0.184
1989,Hawaii,0.233
1990,Hawaii,0.186
1991,Hawaii,0.211
1992,Hawaii,0.192
1993,Hawaii,0.188
1994,Hawaii,0.254
1995,Hawaii,0.227
1996,Hawaii,0.146
1997,Hawaii,0.176
1998,Hawaii,0.124
1999,Hawaii,0.075
2000,Hawaii,0.124
2001,Hawaii,0.103
2002,Hawaii,0.098
2003,Hawaii,0.063
2004,Hawaii,0.2
2005,Hawaii,0.072
2006,Hawaii,0.116
2007,Hawaii,0.064
2008,Hawaii,0.099
2009,Hawaii,0.062
2010,Hawaii,0.084
2011,Hawaii,0.081
2012,Hawaii,0.12
2013,Hawaii,0.073
2014,Hawaii,0.034
2015,Hawaii,0.096
2016,Hawaii,0.091
1980,Idaho,0.659
1981,Idaho,0.675
1982,Idaho,0.685
1983,Idaho,0.67
1984,Idaho,0.579
1985,Idaho,0.666
1986,Idaho,0.625
1987,Idaho,0.649
1988,Idaho,0.691
1989,Idaho,0.663
1990,Idaho,0.664
1991,Idaho,0.669
1992,Idaho,0.666
1993,Idaho,0.676
1994,Idaho,0.617
1995,Idaho,0.663
1996,Idaho,0.601
1997,Idaho,0.586
1998,Idaho,0.622
1999,Idaho,0.583
2000,Idaho,0.609
2001,Idaho,0.573
2002,Idaho,0.576
2003,Idaho,0.51
2004,Idaho,0.557
2005,Idaho,0.589
2006,Idaho,0.554
2007,Idaho,0.561
2008,Idaho,0.543
2009,Idaho,0.541
2010,Idaho,0.523
2011,Idaho,0.466
2012,Idaho,0.552
2013,Idaho,0.542
2014,Idaho,0.53
2015,Idaho,0.509
2016,Idaho,0.578
1980,Illinois,0.312
1981,Illinois,0.307
1982,Illinois,0.295
1983,Illinois,0.305
1984,Illinois,0.301
1985,Illinois,0.334
1986,Illinois,0.287
1987,Illinois,0.309
1988,Illinois,0.339
1989,Illinois,0.37
1990,Illinois,0.36
1991,Illinois,0.336
1992,Illinois,0.324
1993,Illinois,0.308
1994,Illinois,0.324
1995,Illinois,0.327
1996,Illinois,0.288
1997,Illinois,0.297
1998,Illinois,0.269
1999,Illinois,0.279
2000,Illinois,0.286
2001,Illinois,0.218
2002,Illinois,0.232
2003,Illinois,0.218
2004,Illinois,0.226
2005,Illinois,0.23
2006,Illinois,0.245
2007,Illinois,0.225
2008,Illinois,0.205
2009,Illinois,0.243
2010,Illinois,0.243
2011,Illinois,0.243
2012,Illinois,0.266
2013,Illinois,0.244
2014,Illinois,0.238
2015,Illinois,0.238
2016,Illinois,0.226
1980,Indiana,0.541
1981,Indiana,0.484
1982,Indiana,0.515
1983,Indiana,0.49
1984,Indiana,0.509
1985,Indiana,0.494
1986,Indiana,0.449
1987,Indiana,0.507
1988,Indiana,0.531
1989,Indiana,0.505
1990,Indiana,0.527
1991,Indiana,0.533
1992,Indiana,0.505
1993,Indiana,0.517
1994,Indiana,0.505
1995,Indiana,0.5
1996,Indiana,0.479
1997,Indiana,0.413
1998,Indiana,0.467
1999,Indiana,0.405
2000,Indiana,0.444
2001,Indiana,0.387
2002,Indiana,0.408
2003,Indiana,0.364
2004,Indiana,0.391
2005,Indiana,0.37
2006,Indiana,0.386
2007,Indiana,0.358
2008,Indiana,0.374
2009,Indiana,0.4
2010,Indiana,0.391
2011,Indiana,0.351
2012,Indiana,0.432
2013,Indiana,0.406
2014,Indiana,0.424
2015,Indiana,0.394
2016,Indiana,0.424
1980,Iowa,0.552
1981,Iowa,0.524
1982,Iowa,0.53
1983,Iowa,0.437
1984,Iowa,0.512
1985,Iowa,0.546
1986,Iowa,0.48
1987,Iowa,0.47
1988,Iowa,0.513
1989,Iowa,0.515
1990,Iowa,0.51
1991,Iowa,0.5
1992,Iowa,0.463
1993,Iowa,0.462
1994,Iowa,0.397
1995,Iowa,0.397
1996,Iowa,0.451
1997,Iowa,0.437
1998,Iowa,0.347
1999,Iowa,0.397
2000,Iowa,0.477
2001,Iowa,0.398
2002,Iowa,0.417
2003,Iowa,0.389
2004,Iowa,0.423
2005,Iowa,0.359
2006,Iowa,0.375
2007,Iowa,0.388
2008,Iowa,0.396
2009,Iowa,0.387
2010,Iowa,0.411
2011,Iowa,0.376
2012,Iowa,0.409
2013,Iowa,0.401
2014,Iowa,0.331
2015,Iowa,0.36
2016,Iowa,0.385
1980,Kansas,0.592
1981,Kansas,0.545
1982,Kansas,0.623
1983,Kansas,0.57
1984,Kansas,0.573
1985,Kansas,0.549
1986,Kansas,0.533
1987,Kansas,0.578
1988,Kansas,0.567
1989,Kansas,0.569
1990,Kansas,0.585
1991,Kansas,0.577
1992,Kansas,0.539
1993,Kansas,0.528
1994,Kansas,0.527
1995,Kansas,0.513
1996,Kansas,0.505
1997,Kansas,0.434
1998,Kansas,0.464
1999,Kansas,0.433
2000,Kansas,0.469
2001,Kansas,0.417
2002,Kansas,0.418
2003,Kansas,0.437
2004,Kansas,0.428
2005,Kansas,0.392
2006,Kansas,0.426
2007,Kansas,0.447
2008,Kansas,0.421
2009,Kansas,0.43
2010,Kansas,0.439
2011,Kansas,0.444
2012,Kansas,0.455
2013,Kansas,0.452
2014,Kansas,0.419
2015,Kansas,0.377
2016,Kansas,0.423
1980,Kentucky,0.54
1981,Kentucky,0.592
1982,Kentucky,0.592
1983,Kentucky,0.571
1984,Kentucky,0.626
1985,Kentucky,0.61
1986,Kentucky,0.57
1987,Kentucky,0.581
1988,Kentucky,0.621
1989,Kentucky,0.595
1990,Kentucky,0.599
1991,Kentucky,0.595
1992,Kentucky,0.576
1993,Kentucky,0.611
1994,Kentucky,0.584
1995,Kentucky,0.549
1996,Kentucky,0.551
1997,Kentucky,0.553
1998,Kentucky,0.585
1999,Kentucky,0.54
2000,Kentucky,0.553
2001,Kentucky,0.522
2002,Kentucky,0.52
2003,Kentucky,0.507
2004,Kentucky,0.52
2005,Kentucky,0.502
2006,Kentucky,0.476
2007,Kentucky,0.509
2008,Kentucky,0.499
2009,Kentucky,0.491
2010,Kentucky,0.464
2011,Kentucky,0.529
2012,Kentucky,0.514
2013,Kentucky,0.498
2014,Kentucky,0.467
2015,Kentucky,0.464
2016,Kentucky,0.525
1980,Louisiana,0.569
1981,Louisiana,0.62
1982,Louisiana,0.574
1983,Louisiana,0.603
1984,Louisiana,0.57
1985,Louisiana,0.596
1986,Louisiana,0.579
1987,Louisiana,0.603
1988,Louisiana,0.593
1989,Louisiana,0.58
1990,Louisiana,0.617
1991,Louisiana,0.649
1992,Louisiana,0.565
1993,Louisiana,0.582
1994,Louisiana,0.575
1995,Louisiana,0.564
1996,Louisiana,0.468
1997,Louisiana,0.547
1998,Louisiana,0.477
1999,Louisiana,0.513
2000,Louisiana,0.505
2001,Louisiana,0.45
2002,Louisiana,0.485
2003,Louisiana,0.476
2004,Louisiana,0.491
2005,Louisiana,0.486
2006,Louisiana,0.483
2007,Louisiana,0.476
2008,Louisiana,0.492
2009,Louisiana,0.458
2010,Louisiana,0.454
2011,Louisiana,0.467
2012,Louisiana,0.551
2013,Louisiana,0.487
2014,Louisiana,0.481
2015,Louisiana,0.456
2016,Louisiana,0.523
1980,Maine,0.47
1981,Maine,0.493
1982,Maine,0.453
1983,Maine,0.454
1984,Maine,0.498
1985,Maine,0.484
1986,Maine,0.496
1987,Maine,0.482
1988,Maine,0.562
1989,Maine,0.549
1990,Maine,0.539
1991,Maine,0.555
1992,Maine,0.539
1993,Maine,0.504
1994,Maine,0.476
1995,Maine,0.455
1996,Maine,0.478
1997,Maine,0.453
1998,Maine,0.421
1999,Maine,0.441
2000,Maine,0.466
2001,Maine,0.403
2002,Maine,0.41
2003,Maine,0.421
2004,Maine,0.411
2005,Maine,0.425
2006,Maine,0.431
2007,Maine,0.457
2008,Maine,0.462
2009,Maine,0.441
2010,Maine,0.46
2011,Maine,0.47
2012,Maine,0.46
2013,Maine,0.496
2014,Maine,0.423
2015,Maine,0.413
2016,Maine,0.477
1980,Maryland,0.37
1981,Maryland,0.452
1982,Maryland,0.399
1983,Maryland,0.363
1984,Maryland,0.386
1985,Maryland,0.374
1986,Maryland,0.353
1987,Maryland,0.383
1988,Maryland,0.367
1989,Maryland,0.396
1990,Maryland,0.398
1991,Maryland,0.372
1992,Maryland,0.413
1993,Maryland,0.353
1994,Maryland,0.376
1995,Maryland,0.375
1996,Maryland,0.283
1997,Maryland,0.324
1998,Maryland,0.287
1999,Maryland,0.298
2000,Maryland,0.265
2001,Maryland,0.249
2002,Maryland,0.252
2003,Maryland,0.24
2004,Maryland,0.236
2005,Maryland,0.266
2006,Maryland,0.237
2007,Maryland,0.206
2008,Maryland,0.235
2009,Maryland,0.218
2010,Maryland,0.196
2011,Maryland,0.266
2012,Maryland,0.213
2013,Maryland,0.18
2014,Maryland,0.219
2015,Maryland,0.201
2016,Maryland,0.167
1980,Massachusetts,0.169
1981,Massachusetts,0.217
1982,Massachusetts,0.18
1983,Massachusetts,0.156
1984,Massachusetts,0.206
1985,Massachusetts,0.195
1986,Massachusetts,0.155
1987,Massachusetts,0.191
1988,Massachusetts,0.17
1989,Massachusetts,0.203
1990,Massachusetts,0.185
1991,Massachusetts,0.207
1992,Massachusetts,0.204
1993,Massachusetts,0.211
1994,Massachusetts,0.186
1995,Massachusetts,0.181
1996,Massachusetts,0.155
1997,Massachusetts,0.15
1998,Massachusetts,0.158
1999,Massachusetts,0.136
2000,Massachusetts,0.126
2001,Massachusetts,0.121
2002,Massachusetts,0.115
2003,Massachusetts,0.129
2004,Massachusetts,0.104
2005,Massachusetts,0.103
2006,Massachusetts,0.116
2007,Massachusetts,0.075
2008,Massachusetts,0.096
2009,Massachusetts,0.091
2010,Massachusetts,0.122
2011,Massachusetts,0.135
2012,Massachusetts,0.111
2013,Massachusetts,0.085
2014,Massachusetts,0.1
2015,Massachusetts,0.088
2016,Massachusetts,0.09
1980,Michigan,0.444
1981,Michigan,0.41
1982,Michigan,0.439
1983,Michigan,0.425
1984,Michigan,0.463
1985,Michigan,0.408
1986,Michigan,0.394
1987,Michigan,0.47
1988,Michigan,0.45
1989,Michigan,0.494
1990,Michigan,0.508
1991,Michigan,0.49
1992,Michigan,0.427
1993,Michigan,0.443
1994,Michigan,0.45
1995,Michigan,0.425
1996,Michigan,0.429
1997,Michigan,0.387
1998,Michigan,0.416
1999,Michigan,0.368
2000,Michigan,0.401
2001,Michigan,0.38
2002,Michigan,0.388
2003,Michigan,0.359
2004,Michigan,0.384
2005,Michigan,0.346
2006,Michigan,0.372
2007,Michigan,0.334
2008,Michigan,0.315
2009,Michigan,0.354
2010,Michigan,0.342
2011,Michigan,0.325
2012,Michigan,0.391
2013,Michigan,0.36
2014,Michigan,0.347
2015,Michigan,0.358
2016,Michigan,0.389
1980,Minnesota,0.527
1981,Minnesota,0.409
1982,Minnesota,0.536
1983,Minnesota,0.463
1984,Minnesota,0.462
1985,Minnesota,0.528
1986,Minnesota,0.446
1987,Minnesota,0.442
1988,Minnesota,0.456
1989,Minnesota,0.464
1990,Minnesota,0.448
1991,Minnesota,0.463
1992,Minnesota,0.456
1993,Minnesota,0.442
1994,Minnesota,0.444
1995,Minnesota,0.423
1996,Minnesota,0.464
1997,Minnesota,0.395
1998,Minnesota,0.427
1999,Minnesota,0.411
2000,Minnesota,0.447
2001,Minnesota,0.405
2002,Minnesota,0.409
2003,Minnesota,0.405
2004,Minnesota,0.406
2005,Minnesota,0.387
2006,Minnesota,0.373
2007,Minnesota,0.403
2008,Minnesota,0.386
2009,Minnesota,0.396
2010,Minnesota,0.41
2011,Minnesota,0.411
2012,Minnesota,0.382
2013,Minnesota,0.424
2014,Minnesota,0.353
2015,Minnesota,0.341
2016,Minnesota,0.391
1980,Mississippi,0.59
1981,Mississippi,0.605
1982,Mississippi,0.596
1983,Mississippi,0.626
1984,Mississippi,0.628
1985,Mississippi,0.613
1986,Mississippi,0.591
1987,Mississippi,0.617
1988,Mississippi,0.625
1989,Mississippi,0.617
1990,Mississippi,0.614
1991,Mississippi,0.624
1992,Mississippi,0.56
1993,Mississippi,0.605
1994,Mississippi,0.575
1995,Mississippi,0.588
1996,Mississippi,0.59
1997,Mississippi,0.568
1998,Mississippi,0.512
1999,Mississippi,0.57
2000,Mississippi,0.536
2001,Mississippi,0.545
2002,Mississippi,0.541
2003,Mississippi,0.541
2004,Mississippi,0.53
2005,Mississippi,0.5
2006,Mississippi,0.49
2007,Mississippi,0.522
2008,Mississippi,0.497
2009,Mississippi,0.478
2010,Mississippi,0.48
2011,Mississippi,0.498
2012,Mississippi,0.568
2013,Mississippi,0.502
2014,Mississippi,0.488
2015,Mississippi,0.474
2016,Mississippi,0.541
1980,Missouri,0.569
1981,Missouri,0.501
1982,Missouri,0.514
1983,Missouri,0.484
1984,Missouri,0.516
1985,Missouri,0.512
1986,Missouri,0.481
1987,Missouri,0.523
1988,Missouri,0.525
1989,Missouri,0.55
1990,Missouri,0.582
1991,Missouri,0.536
1992,Missouri,0.478
1993,Missouri,0.492
1994,Missouri,0.52
1995,Missouri,0.468
1996,Missouri,0.485
1997,Missouri,0.459
1998,Missouri,0.474
1999,Missouri,0.426
2000,Missouri,0.461
2001,Missouri,0.446
2002,Missouri,0.477
2003,Missouri,0.433
2004,Missouri,0.451
2005,Missouri,0.417
2006,Missouri,0.445
2007,Missouri,0.449
2008,Missouri,0.487
2009,Missouri,0.47
2010,Missouri,0.463
2011,Missouri,0.434
2012,Missouri,0.511
2013,Missouri,0.486
2014,Missouri,0.497
2015,Missouri,0.488
2016,Missouri,0.528
1980,Montana,0.782
1981,Montana,0.695
1982,Montana,0.656
1983,Montana,0.759
1984,Montana,0.778
1985,Montana,0.717
1986,Montana,0.693
1987,Montana,0.737
1988,Montana,0.669
1989,Montana,0.665
1990,Montana,0.668
1991,Montana,0.673
1992,Montana,0.638
1993,Montana,0.7
1994,Montana,0.689
1995,Montana,0.684
1996,Montana,0.654
1997,Montana,0.621
1998,Montana,0.657
1999,Montana,0.581
2000,Montana,0.646
2001,Montana,0.623
2002,Montana,0.626
2003,Montana,0.632
2004,Montana,0.62
2005,Montana,0.694
2006,Montana,0.614
2007,Montana,0.639
2008,Montana,0.69
2009,Montana,0.625
2010,Montana,0.621
